ADT,Size,MutableArray,ImmutableArray,MutableList,ImmutableList
Stack,1000,0.003745,0.006917,0.000356,0.180048
Stack,2000,0.010450,0.020918,0.000398,0.648803
Stack,3000,0.025013,0.054572,0.000674,1.513295
Stack,4000,0.042661,0.079375,0.000715,2.631642
Stack,5000,0.070086,0.122550,0.000948,4.090200
Stack,6000,0.090609,0.175351,0.001101,5.947410
Stack,7000,0.123013,0.238791,0.001413,7.981720
Stack,8000,0.173160,0.311049,0.001514,10.545826
Stack,9000,0.205816,0.402590,0.001698,13.251319
Stack,10000,0.252063,0.490272,0.002026,16.449166
Queue,1000,0.007756,0.010102,0.000197,0.184863
Queue,2000,0.027707,0.038397,0.000400,0.651098
Queue,3000,0.062355,0.084185,0.000599,1.472526
Queue,4000,0.110099,0.147965,0.000801,2.617539
Queue,5000,0.172295,0.229915,0.001123,4.084019
Queue,6000,0.247096,0.331526,0.001198,5.903102
Queue,7000,0.340221,0.452751,0.001403,8.007661
Queue,8000,0.442058,0.591341,0.001640,10.570137
Queue,9000,0.556898,0.761232,0.001799,13.256201
Queue,10000,0.687078,0.926289,0.001998,16.418413
Deque,1000,0.007202,0.010537,0.000196,0.166283
Deque,2000,0.028116,0.040803,0.000423,0.654812
Deque,3000,0.062415,0.084687,0.000598,1.471109
Deque,4000,0.123155,0.147740,0.000774,2.611270
Deque,5000,0.175833,0.230657,0.001220,4.086351
Deque,6000,0.246265,0.330984,0.001192,5.877113
Deque,7000,0.337299,0.453194,0.001349,8.085041
Deque,8000,0.439314,0.592265,0.001608,10.490900
Deque,9000,0.555209,0.750354,0.001732,13.368711
Deque,10000,0.694746,0.924610,0.001941,16.904980
PriorityQueue,1000,0.011519,0.014824,0.000230,0.167320
PriorityQueue,2000,0.046333,0.055897,0.000446,0.654687
PriorityQueue,3000,0.106942,0.123728,0.000698,1.472575
PriorityQueue,4000,0.182410,0.218628,0.000910,2.686668
PriorityQueue,5000,0.282604,0.339102,0.001101,4.102835
PriorityQueue,6000,0.404525,0.488858,0.001330,5.876698
PriorityQueue,7000,0.594665,0.713765,0.001558,8.838990
PriorityQueue,8000,0.821596,0.964514,0.002351,11.614256
PriorityQueue,9000,1.015848,1.233501,0.002408,14.314348
PriorityQueue,10000,1.313464,1.677097,0.002970,21.299974
